"id","from_knowledgecomponent_id","to_knowledgecomponent_id"
595,54,53
596,53,54
397,53,56
398,53,48
501,59,57
502,57,59
505,96,94
506,94,96
402,56,53
19,15,14
20,14,15
403,48,53
305,26,22
306,22,26
314,89,81
31,20,14
32,14,20
316,81,89
419,40,32
420,32,40
424,64,67
425,64,68
426,64,69
427,64,14
513,99,95
514,95,99
429,67,64
430,68,64
517,42,33
518,33,42
537,102,93
538,93,102
541,91,97
542,91,92
543,91,94
544,91,95
545,97,91
546,92,91
547,94,91
548,95,91
551,98,95
552,95,98
557,55,53
558,53,55
345,80,89
346,80,81
348,80,85
349,89,80
350,81,80
352,85,80
359,56,50
561,88,80
562,88,81
431,69,64
363,50,56
563,80,88
564,81,88
432,14,64
567,103,93
100,19,14
568,93,103
102,14,19
587,21,32
104,27,14
588,21,28
106,14,27
589,21,22
108,34,14
590,21,23
110,14,34
591,32,21
592,28,21
593,22,21
594,23,21
386,28,35
387,28,29
388,28,30
389,28,31
391,35,28
392,29,28
393,30,28
394,31,28
456,93,92
457,93,101
461,92,93
462,101,93
473,52,19
475,52,34
476,52,27
477,19,52
479,34,52
480,27,52
201,77,76
202,76,77
407,45,56
408,45,48
409,45,51
410,45,53
499,84,81
500,81,84
597,12,4
598,4,12
507,90,82
508,82,90
411,56,45
412,48,45
413,51,45
414,53,45
515,100,95
516,95,100
519,71,72
520,71,73
521,71,74
522,71,75
523,72,71
524,73,71
421,44,32
422,32,44
308,16,70
309,16,14
525,74,71
526,75,71
529,58,49
530,58,50
433,83,82
434,82,83
443,36,32
444,36,37
445,36,38
446,36,39
531,58,47
532,58,63
447,32,36
448,37,36
288,81,86
289,81,87
449,38,36
450,39,36
295,86,81
296,87,81
465,33,32
311,70,16
312,14,16
466,33,41
323,57,60
325,57,47
328,60,57
330,47,57
333,66,16
334,16,66
343,24,22
344,22,24
533,49,58
354,50,57
469,32,33
357,57,50
367,46,56
368,56,46
375,82,81
534,50,58
378,82,86
379,82,87
380,81,82
535,47,58
383,86,82
384,87,82
395,25,22
396,22,25
470,41,33
536,63,58
481,43,33
482,33,43
491,94,93
494,93,94
539,65,64
540,64,65
549,79,76
550,76,79
553,18,52
554,18,14
555,52,18
556,14,18
559,61,57
560,57,61
565,78,76
566,76,78
569,4,6
570,4,7
571,4,8
572,4,9
573,4,10
574,4,11
576,4,13
577,4,17
578,6,4
579,7,4
580,8,4
581,9,4
582,10,4
583,11,4
585,13,4
586,17,4
