"id","choice_text","is_correct","question_id"
5,Relation,false,2
6,Function,false,2
7,Set,true,2
8,Tuple,false,2
9,"{1, 2, 3}",false,3
10,"{1, 3, 5, 7, 9}",true,3
11,"{1, 2, 5, 9}",false,3
12,"{1, 5, 7, 9, 11}",false,3
13,"{(1, a), (1, b), (2, a), (b, b)}",false,4
14,"{(1, 1), (2, 2), (a, a), (b, b)}",false,4
15,"{(1, a), (2, a), (1, b), (2, b)}",true,4
16,"{(a, 1), (a, 2), (b, 1), (b, 2)}",false,4
17,True,false,5
18,False,true,5
19,"10",false,6
20,"5",true,6
21,"3",false,6
22,"20",false,6
23,"A = {1, 2} and B = {1}",false,7
24,"A = {1, 2} and B = {1, 2, 3}",false,7
25,"A = {1, 2, 3} and B = {2, 1, 3}",true,7
26,"A = {1, 2, 4} and B = {1, 2, 3}",false,7
27,"A = {p, q} and B = {x, y}",true,8
28,"A = {p, q, x} and B = { y}",false,8
29,"A = {p} and B = {q, x, y}",false,8
30,"A ={x, y} and B = {p, q}",false,8
31,"{2,3}",true,9
32,"{6,7}",false,9
33,"{2,3,4,5}",false,9
34,"{4,5,6,7}",false,9
35,"{2,3}",true,10
36,"{6,7}",false,10
37,"{2,3,4,5}",false,10
38,"{4,5,6,7}",false,10
39,"{2, 4, 5, 9, 10, 11, 8}",false,11
40,"{2, 3, 4, 5, 6, 7, 8, 9}",true,11
41,"{1, 4, 9, 7,8,11,10}",false,11
42,"{4, 5,7,8,9,10,11}",false,11
43,"{2, 3, 4}",false,12
44,"{6, 7}",true,12
45,"{2, 3, 8, 9}",false,12
46,"{4, 5}",false,12
47,"{6,7}",false,13
48,"{2,3}",false,13
49,"{4,5}",true,13
50,"{8,9}",false,13
51,"{(2, 2), (7, 7), (5, 5), (3, 3), (4, 4),(4,7)}",false,14
52,"{(2, 5), (2, 7), (3, 5), (3, 7), (3,4), (4,3)}",false,14
53,"{(2, 5), (2, 7), (3, 5), (3, 7), (4,5), (4,7)}",true,14
55,True,false,15
56,False,true,15
57,True,true,16
58,False,false,16
59,True,false,17
60,False,true,17
61,"{1,2,3,5}",false,18
62,"{1,2}",false,18
63,"{3,5}",true,18
64,"{1,2,3}",false,18
65,"{1, 2, 3}",false,19
66,"{(1,1), (1,2), (2,1), (2,2)}",true,19
67,"{1, 2}",false,19
68,"{1, 2, 3}",false,20
69,"{(1,1), (1,2), (1,3)}",false,20
70,"{(1,3), (2,3)}",true,20
71,"{(1,1), (2,2)}",false,21
72,"{(1,1), (1,2), (1,3)}",false,21
73,"{(1,3), (2,3)}",true,21
74,"1",true,22
75,"2",false,22
76,"3",false,22
77,"4",false,22
78,"A = {1, 2, 3}, B = {2, 3, 4}",false,23
79,"A = {1, 2, 3}, B = {1, 2, 3, 4}",false,23
80,"A = {1, 2, 3}, B = {2, 3, 1}",true,23
81,"A = {1, 2, 3, 4, 5, 6}, B = {2, 3, 4, 5, 1}",false,23
82,A ∩ B,true,24
83,A U B,false,24
84,A,false,24
85,B,false,24
86,A,false,25
87,(A U B) -B,true,25
88,A ∩ B,false,25
89,B- (A ∩ B),false,25
90,A U B,false,26
91,(A U B) – (A ∩ B),true,26
92,A – B,false,26
93,A ∩ B,false,26
94,A U C  –  B,false,27
95,B – A – C,true,27
96,(A ∩ C) ∩ B,false,27
97,(AUC) – (B ∩ A) – (B ∩C),false,27
98,"5",false,28
99,"6",true,28
100,"12",false,28
101,"24",false,28
102,"11",false,29
103,"12",false,29
104,"13",true,29
105,"14",false,29
106,"{(1,c) ,(2,c),(3,a),(3,b),(3,c)}",true,30
107,"{(1,a), (1,b) , (2,a) , (2,b)}",false,30
108,"{(1,a),(1,b),(1,c),(2,a),(2,b),(2,c)}",false,30
109,True,false,31
110,False,true,31
111,True,false,32
112,False,true,32
113,True,true,33
114,False,false,33
115,True,true,34
116,False,false,34
117,True,true,35
118,False,false,35
119,Range,false,36
120,Domain,false,36
121,Relation,true,36
122,Tuple,false,36
123,Table,false,37
124,Tuple,false,37
125,Attribute,false,37
126,Domain,true,37
127,Row,false,38
128,Column,true,38
129,Value,false,38
130,Tuple,false,38
131,Attribute,false,39
132,Tuple,true,39
133,Field,false,39
134,Instance,false,39
135,Relations,false,40
136,Attributes,true,40
137,Tuples,false,40
138,Instances,false,40
140,Important; Important,false,41
143,Domain,false,42
144,Subkey,false,42
145,Superkey,true,42
146,Foreign key,false,42
147,Candidate key,false,43
148,Foreign key,true,43
149,Superkey,false,43
150,Primary key,false,43
139,Important; Not important,false,41
141,Not important; Important,true,41
142,Not important; Not important,false,41
151,A superkey is an attribute or a set of attributes that can uniquely identify a tuple in a relation,true,44
54,"{(2, 5), (3, 7), (5, 5), (4, 7), (2,7), (3,5)}",false,14
152,A superkey is a tuple or a set of multiple tuples that can uniquely identify an attribute in a relation,false,44
153,Every superkey is a candidate key,false,44
154,A superkey is an attribute or a set of attributes that distinguish the relation from other relations,false,44
155,Referenced,false,45
156,Referencing,true,45
157,"{a,b,c} must not be a superkey",false,46
158,"{a,b,c} must not be a candidate key",true,46
159,"{a,b,c} must be a primary key",false,46
160,"{a,b,c} must be a superkey",true,47
161,"{a,b,c} must not be a superkey",false,47
162,"{a,b,c} must be a candidate key",false,48
163,"{a,b,c} must be a superkey",true,48
164,{a} must be a superkey,false,48
165,"{a,b} must not be a superkey",false,49
166,"{a,c} must be a candidate key",false,49
167,{a} must be a candidate key,true,49
168,A superkey is always a candidate key,false,50
169,A candidate key is always a superkey,true,50
170,A superkey is always a primary key,false,50
171,A candidate key is always a primary key,false,50
172,Char(n),false,51
173,String(n),true,51
174,Varchar(n),false,51
175,Bit(n),false,51
176,create table(…),true,52
177,create relation(…),false,52
178,New table(…),false,52
179,New relation(…),false,52
180,Drop table R,true,53
181,Drop relation R,false,53
182,Delete table R,false,53
183,Delete from R,false,53
184,Alter table R delete A,false,54
185,Alter table R drop column A,true,54
186,Alter table drop A from R,false,54
187,Delete A from R,false,54
188,DML,false,55
189,DDL,true,55
190,DCL,false,55
191,TCL,false,55
192,"Fixed, Fixed",false,56
193,"Variable, Variable",false,56
194,"Fixed, Variable",true,56
195,"Variable, Fixed",false,56
196,Select,true,57
197,Update,false,57
198,Delete,false,57
199,Create,false,57
203,Create,false,58
204,Alter Table,false,59
205,Add row,false,59
206,Insert,true,59
207,Append,false,59
208,"enter into D (a, b, c);",false,60
209,"insert into D values (a, b, c);",true,60
210,"insert into D (a, b, c);",false,60
211,"insert (a, b, c) values into D;",false,60
212,delete table R,false,61
213,drop table R,false,61
214,delete from R,true,61
215,drop from R,false,61
216,Select,false,62
217,Join,true,62
218,Union,false,62
219,Show all rows and columns of table “person”,true,63
220,Show the number of rows of table “person”,false,63
221,Show the number of columns of table “person”,false,63
222,Show all rows and columns of table “person”,false,64
223,Show the number of rows of table “person”,true,64
224,Show the number of columns of table “person”,false,64
225,"CREATE TABLE Enrol(StudentID INT; CourseNo VARCHAR(20); Semester VARCHAR(50)),",false,65
226,"CREATE TABLE Enrol(StudentID INT, CourseNo VARCHAR(20), Semester VARCHAR(50)),",false,65
227,"CREATE TABLE Enrol(StudentID INT, CourseNo VARCHAR(20), Semester VARCHAR(50));",true,65
228,At least one of the attributes in the primary key is not null,false,66
229,None of the attributes in the primary key can be null,true,66
230,All the attributes in the primary key can be null,false,66
233,StudentID cannot be null in Student,false,67
234,StudentID cannot be null in Enrol,false,67
235,"6",true,68
236,"4",false,68
237,"2",false,68
238,"0",false,68
239,"3",false,69
240,"2",false,69
241,"1",true,69
242,"0",false,69
243,"3",false,70
244,"2",true,70
245,"1",false,70
246,"0",false,70
247,"4",false,71
248,"3",true,71
249,"2",false,71
250,"1",false,71
251,"4",true,72
252,"3",false,72
253,"2",false,72
254,"1",false,72
255,"4, 6",false,73
256,"3, 4",false,73
257,"6, 4",true,73
258,"4, 3",false,73
259,"6",false,74
260,"4",true,74
261,"2",false,74
262,"1",false,74
263,"4",false,75
264,"3",false,75
265,"2",true,75
266,"1",false,75
267,"6",false,76
268,"5",false,76
269,"4",true,76
270,"3",false,76
271,"4",false,77
272,"3",false,77
273,"2",false,77
274,"1",true,77
275,"28",true,78
276,"12",false,78
277,"7",false,78
278,"4",false,78
279,"28",false,79
280,"12",false,79
281,"7",true,79
282,"4",false,79
283,"28",false,80
284,"12",false,80
285,"7",true,80
286,"4",false,80
287,"13",false,81
288,"8",true,81
289,"4",false,81
290,"1",false,81
291,"12",false,82
292,"9",false,82
293,"7",false,82
231,Every StudentID appearing in Enrol must exist in Student,true,67
294,"3",true,82
295,"11",false,83
296,"8",false,83
297,"7",true,83
298,"4",false,83
299,"11",false,84
300,"7",false,84
301,"4",false,84
302,"3",true,84
303,"7",false,85
304,"3",false,85
305,"2",true,85
306,"1",false,85
307,"1,2",true,86
308,"3,3",false,86
309,"3,2",false,86
310,"1,3",false,86
311,"SELECT CourseNo, COUNT(*) AS NoOfStudents      FROM Enrol      WHERE Year = 2019      GROUP BY CourseNo;",true,87
313,"SELECT CourseNo, COUNT(*) AS NoOfStudents      FROM Student      WHERE Year = 2019      GROUP BY CourseNo;",false,87
314,"SELECT CourseNo, COUNT(*) AS NoOfStudents      FROM Student      WHERE Year = 2019      GROUP BY StudentID;",false,87
312,"SELECT CourseNo, COUNT(*) AS NoOfStudents      FROM Enrol   WHERE Year = 2019      GROUP BY StudentID;",false,87
201,Alter Table,false,58
200,Drop Table,false,58
202,Update,true,58
232,Every  StudentID appearing in Student must exist in Enrol,false,67
315,Primary key constraint,true,91
316,Foreign key constraint,false,91
317,Domain constraint,false,91
318,Diamond,false,92
319,Rectangle,false,92
320,Double diamond,false,92
321,Double rectangle,true,92
322,Fitness centre,false,93
323,Fitness class,true,93
324,Trainers’ speciality,false,93
325,Equipment ID,false,93
326,Report of each maintenance event,false,94
327,Status type of equipment,false,94
328,Employee of fitness centre,true,94
329,Time slot of fitness class,false,94
330,Associate member,false,95
331,Employee ID,true,95
332,Fitness class,false,95
333,Fitness centre,false,95
334,Weight gain,false,96
335,Weight loss,false,96
336,Strength building,false,96
337,Speciality,true,96
338,Equipments' status,false,97
339,Fitness class,false,97
340,Associate member,true,97
341,Trainers’ speciality,false,97
342,Phone number of technician,false,98
343,Date of maintenance event,false,98
344,Name of employee,false,98
345,Time slot of fitness class,true,98
346,Attribute and domain,false,99
347,Entity and relationship,false,99
348,Superclass and subclass,true,99
349,Entity and attribute,false,99
350,"1 : 1",false,100
351,"1: N",false,100
353,Partial,true,101
354,Total,false,101
355,Partial,false,102
356,Total,true,102
357,"1 : 1",false,103
358,"1: N",true,103
360,Partial,true,104
361,Total,false,104
362,Partial,false,105
363,Total,true,105
365,"Model ""trainer"" as an entity and model ""speciality"" as an attribute",false,106
366,"Model ""trainer"" as an entity and model ""speciality"" as a multi-valued attribute",true,106
368,Landline number,false,107
369,Address,false,107
370,ID,true,107
371,Name,false,107
372,For each fitness class the start date must be before the end date.,false,108
373,Each piece of equipment should be maintained at least twice a year.,false,108
374,Each fitness class is instructed by only one trainer and not all trainers deliver fitness classes.,true,108
375,"Each piece of equipment has a unique ID and must have one of the following three status types: new, working or broken.",false,108
359,N:N,false,103
376,XY→XYZ,false,109
377,X→YZ,false,109
378,XYZ→Z,true,109
379,YZ→X,false,109
380,A,false,110
381,AB,false,110
382,ABC,true,110
383,ABCD,false,110
384,True,false,111
385,False,true,111
386,True,true,112
387,False,false,112
388,A,false,113
389,AB,false,113
390,ABC,false,113
391,ABCD,true,113
392,True,true,114
393,False,false,114
394,True,true,115
395,False,false,115
396,True,false,116
397,False,true,116
398,True,true,117
399,False,false,117
400,True,false,118
401,False,true,118
402,True,false,119
403,False,true,119
404,True,true,120
405,False,false,120
406,True,false,121
407,False,true,121
408,True,true,122
409,False,false,122
410,True,true,123
411,False,false,123
412,True,false,124
413,False,true,124
414,True,true,125
415,False,false,125
416,True,false,126
417,False,true,126
418,True,true,127
419,False,false,127
420,True,true,128
421,False,false,128
422,True,false,129
423,False,true,129
352,N:N  ,true,100
364,"Model ""speciality"" as an entity type",false,106
367,"Model ""trainer"" as an entity type and model ""speciality"" as a weak entity type that is related to the entity type ""trainer""",false,106
436,"A relation schema R is in BCNF if whenever a non-trivial FD X→ A holds in R, then A is a prime attribute.",false,133
437,"A relation schema R is in 3NF if whenever a non-trivial FD X→ A holds in R, then X is a superkey.",false,133
438,"A relation schema R is in BCNF if whenever a non-trivial FD X→ A holds in R, then X is a superkey.",true,133
439,"A relation schema R is in 3NF if whenever a non-trivial FD X→ A holds in R, then A is a prime attribute.",false,133
440,R is in 3NF and R is in BCNF.,true,134
441,R is in 3NF and R is not in BCNF.,false,134
442,R is not in 3NF and R is not in BCNF.,false,134
443,R is not in 3NF and R is in BCNF.,false,134
444,R is in 3NF and R is in BCNF.,true,135
445,R is in 3NF and R is not in BCNF.,false,135
446,R is not in 3NF and R is not in BCNF.,false,135
447,R is not in 3NF and R is in BCNF.,false,135
448,R is in 3NF and R is in BCNF.,false,136
449,R is in 3NF and R is not in BCNF.,false,136
450,R is not in 3NF and R is not in BCNF.,true,136
451,R is not in 3NF and R is in BCNF.,false,136
452,R is in 3NF and R is in BCNF.,true,137
453,R is in 3NF and R is not in BCNF.,false,137
454,R is not in 3NF and R is not in BCNF.,false,137
455,R is not in 3NF and R is in BCNF.,false,137
456,R is in 3NF and R is in BCNF.,false,138
457,R is in 3NF and R is not in BCNF.,true,138
458,R is not in 3NF and R is not in BCNF.,false,138
459,R is not in 3NF and R is in BCNF.,false,138
460,BCNF is a a less restrictive normal form compared to 3NF.,false,139
461,BCNF can only minimise (not necessarily eliminate) redundancy.,false,139
462,BCNF eliminates redundancy. ,true,139
463,"3NF is a a more restrictive normal form compared to BCNF.",false,140
464,"3NF can only minimise (not necessarily eliminate) redundancy.",true,140
465,"3NF eliminates redundancy. ",false,140
466,"If R is in BCNF, then R must be in 3NF.",true,141
467,"If R is in 3NF, then R must be in BCNF.",false,141
468,"If R is in BCNF, then R cannot be in 3NF.",false,141
469,"If R is in 3NF, then R cannot be in BCNF.",false,141
470,BCNF decomposition is always a dependency-preserving decomposition.,false,142
471,"3NF decomposition is always a dependency-preserving decomposition.",true,142
472,BCNF decomposition cannot be a dependency-preserving decomposition.,false,142
473,"3NF decomposition cannot be a dependency-preserving decomposition.",false,142
474,The BCNF decomposition is always unique for any R and Σ.,false,143
475,The 3NF decomposition is always unique for any R and Σ.,false,143
476,There exists an algorithm that can always generate a lossless and dependency-preserving decomposition into 3NF.,true,143
477,There exists an algorithm that can always generate a lossless and dependency-preserving decomposition into BCNF.,false,143
426,Does not fulfil the lossless join property but fulfils the dependency preserving property.,false,130
424,Fulfils both lossless join and dependency preserving properties.,true,130
427,Fulfils neither the lossless join property nor the dependency preserving property.,false,130
425,Fulfils the lossless join property but does not fulfil the dependency preserving property.,false,130
430,Does not fulfil the lossless join property but fulfils the dependency preserving property.,false,131
428,Fulfils both lossless join and dependency preserving properties.,false,131
431,Fulfils neither the lossless join property nor the dependency preserving property.,false,131
429,Fulfils the lossless join property but does not fulfil the dependency preserving property.,true,131
434,Does not fulfil the lossless join property but fulfils the dependency preserving property.,false,132
432,Fulfils both lossless join and dependency preserving properties.,true,132
435,Fulfils neither the lossless join property nor the dependency preserving property.,false,132
433,Fulfils the lossless join property but does not fulfil the dependency preserving property.,false,132
478,"6",false,146
479,"4",true,146
480,"2",false,146
481,"0",false,146
482,"3",false,147
483,"2",true,147
484,"1",false,147
485,"0",false,147
486,"4",false,148
487,"3",true,148
488,"2",false,148
489,"1",false,148
490,"4",false,149
491,"3",true,149
492,"2",false,149
493,"1",false,149
494,"6",false,150
495,"5",false,150
496,"4",true,150
497,"3",false,150
498,"4",false,151
499,"3",false,151
500,"2",false,151
501,"1",true,151
502,"4",false,152
503,"3",false,152
504,"2",true,152
505,"1",false,152
506,"28",true,153
507,"12",false,153
508,"7",false,153
509,"4",false,153
510,"28",false,154
511,"12",true,154
512,"7",false,154
513,"4",false,154
514,"28",false,155
515,"12",false,155
516,"7",true,155
517,"4",false,155
518,"28",false,156
519,"12",false,156
520,"7",true,156
521,"4",false,156
522,"16",false,157
523,"12",false,157
524,"8",false,157
525,"4",true,157
526,"12",false,158
527,"9",false,158
528,"7",false,158
529,"3",true,158
530,"28",false,159
531,"21",true,159
532,"12",false,159
533,"7",false,159
534,"16",true,160
535,"8",false,160
536,"4",false,160
537,"0",false,160
538,"28",false,161
539,"17",true,161
540,"12",false,161
541,"7",false,161
542,"16",false,162
544,"8",false,162
545,"5",false,162
546,Yes,true,163
547,No,false,163
548,Yes,false,164
549,No,true,164
550,Yes,false,165
551,No,true,165
552,Yes,false,166
553,No,true,166
554,Yes,true,167
555,No,false,167
557,only B,false,168
