id,question_rich_text,question_title,explanation,hint_text,question_text,difficulty
219,"Consider two transactions <img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/> and <img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/> which are executed in the schedule below:<br>
<br>
<center><table style=""padding: 20px;text-align: center;width: 30%;"" border=""1"">

  <tr>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/></th>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/></th>
  </tr>
  <tr>
    <td> </td>
    <td> read(D)</td>
  </tr>
  <tr>
    <td>  </td>
    <td>write(D) </td>
  </tr>
 <tr>
    <td> read(A)</td>
    <td>  </td>
  </tr>
<tr>
    <td> write(A)</td>
    <td>  </td>
  </tr>

<tr>
    <td>  </td>
    <td> commit </td>
  </tr>
<tr>
    <td> read(B) </td>
    <td>  </td>
  </tr>
<tr>
    <td> write(B) </td>
    <td> </td>
  </tr>
<tr>
    <td> abort </td>
    <td> </td>
  </tr>
</table></center>
<br>
If the database server goes down right after executing commit from <img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/>and no changes
have been written to disk yet, what will a transaction manager do after the database server
is up later?",Q10-20,,,"Consider two transactions and which are executed in the schedule below: read(D) write(D) read(A) write(A) commit read(B) write(B) abort If the database server goes down right after executing commit from and no changes have been written to disk yet, what will a transaction manager do after the database server is up later?",3
218,"Consider two transactions <img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/> and <img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/> which are executed in the schedule below:<br>
<br>
<center><table style=""padding: 20px;text-align: center;width: 30%;"" border=""1"">

  <tr>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/></th>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/></th>
  </tr>
  <tr>
    <td> </td>
    <td> read(D)</td>
  </tr>
  <tr>
    <td>  </td>
    <td>write(D) </td>
  </tr>
 <tr>
    <td> read(A)</td>
    <td>  </td>
  </tr>
<tr>
    <td> write(A)</td>
    <td>  </td>
  </tr>

<tr>
    <td>  </td>
    <td> commit </td>
  </tr>
<tr>
    <td> read(B) </td>
    <td>  </td>
  </tr>
<tr>
    <td> write(B) </td>
    <td> </td>
  </tr>
<tr>
    <td> abort </td>
    <td> </td>
  </tr>
</table></center>
<br>
After executing abort from <img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/> , what will the transaction manager do?",Q10-19,,,"Consider two transactions and which are executed in the schedule below: read(D) write(D) read(A) write(A) commit read(B) write(B) abort After executing abort from , what will the transaction manager do?",3
217,"Consider the following two transactions <img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/> and <img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/>, which transfer money between
different accounts. If the transaction isolation level is “read uncommitted”, which of the
following schedules is not serializable?<br>
<html>
<head>
<meta name=""viewport"" content=""width=device-width, initial-scale=1"">
<style>
* {
  box-sizing: border-box;
}
.column {
  float: left;
  width: 20%;
  padding:9px;
  height: 400px; 
}
.row:after {
  content: """";
  display: table;
  clear: both;
}
</style>
</head>
<body>
<div class=""row""display= ""table"">
  <div class=""column"" >
    <h2>1</h2>
   <table style=""padding: 20px;text-align: center;width: 90%;"" border=""1"">

  <tr>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/></th>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/></th>
  </tr>
  <tr>
    <td> read(A) </td>
    <td> </td>
  </tr>
  <tr>
    <td> A=A-10</td>
    <td> </td>
  </tr>
 <tr>
    <td> write(A)</td>
    <td> </td>
  </tr>

<tr>
    <td> read(B) </td>
    <td>  </td>
  </tr>
<tr>
    <td> B=B+10 </td>
    <td> </td>
  </tr>
<tr>
    <td>write(B)  </td>
    <td> </td>
  </tr>
<tr>
    <td>commit  </td>
    <td> </td>
  </tr>
<tr>
    <td>  </td>
    <td> read(B)</td>
  </tr>
<tr>
    <td>  </td>
    <td>B=B-20 </td>
  </tr>
<tr>
    <td>  </td>
    <td>write(B) </td>
  </tr>
<tr>
    <td>  </td>
    <td>read(D) </td>
  </tr>
<tr>
    <td>  </td>
    <td>D=D+20 </td>
  </tr>
<tr>
    <td>  </td>
    <td>write(D) </td>
  </tr>
<tr>
    <td>  </td>
    <td>commit </td>
  </tr>
</table>
  </div>
  <div class=""column"" >
    <h2>2</h2>
<table style=""padding: 20px;text-align: center;width: 90%;"" border=""1"">

  <tr>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/></th>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/></th>
  </tr>
  <tr>
    <td> read(A) </td>
    <td> </td>
  </tr>
  <tr>
    <td> </td>
    <td>read(B) </td>
  </tr>
 <tr>
    <td> A=A-10</td>
    <td> </td>
  </tr>

<tr>
    <td>  </td>
    <td>  B=B-20</td>
  </tr>
<tr>
    <td> write(A) </td>
    <td> </td>
  </tr>
<tr>
    <td>  </td>
    <td>write(B) </td>
  </tr>
<tr>
    <td>read(B) </td>
    <td> </td>
  </tr>
<tr>
    <td>  </td>
    <td> read(D)</td>
  </tr>
<tr>
    <td>  B=B+10</td>
    <td> </td>
  </tr>
<tr>
    <td> write(B) </td>
    <td></td>
  </tr>
<tr>
    <td> commit </td>
    <td></td>
  </tr>
<tr>
    <td>  </td>
    <td>D=D+20 </td>
  </tr>
<tr>
    <td>  </td>
    <td>write(D) </td>
  </tr>
<tr>
    <td>  </td>
    <td>commit </td>
  </tr>
</table>
  </div>
<div class=""column"" >
    <h2>3</h2>
   <table style=""padding: 20px;text-align: center;width: 90%;"" border=""1"">

  <tr>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/></th>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/></th>
  </tr>
  <tr>
    <td> read(A) </td>
    <td> </td>
  </tr>
  <tr>
    <td>A=A-10 </td>
    <td> </td>
  </tr>
 <tr>
    <td> </td>
    <td>read(B) </td>
  </tr>

<tr>
    <td>  write(A)</td>
    <td> </td>
  </tr>
<tr>
    <td> read(B) </td>
    <td> </td>
  </tr>
<tr>
    <td>  </td>
    <td>B=B-20 </td>
  </tr>
<tr>
    <td> </td>
    <td> write(B)</td>
  </tr>
<tr>
    <td>  B=B+10</td>
    <td> </td>
  </tr>
<tr>
    <td>  </td>
    <td>read(D) </td>
  </tr>
<tr>
    <td> write(B) </td>
    <td></td>
  </tr>
<tr>
    <td> commit </td>
    <td></td>
  </tr>
<tr>
    <td>  </td>
    <td>D=D+20 </td>
  </tr>
<tr>
    <td>  </td>
    <td>write(D) </td>
  </tr>
<tr>
    <td>  </td>
    <td>commit </td>
  </tr>
</table>
  </div>
</div>
</body>
</html>
",Q10-18,,,"Consider the following two transactions and , which transfer money between different accounts. If the transaction isolation level is “read uncommitted”, which of the following schedules is not serializable? * { box-sizing: border-box; } .column { float: left; width: 20%; padding:9px; height: 400px; } .row:after { content: """"; display: table; clear: both; } 1 read(A) A=A-10 write(A) read(B) B=B+10 write(B) commit read(B) B=B-20 write(B) read(D) D=D+20 write(D) commit 2 read(A) read(B) A=A-10 B=B-20 write(A) write(B) read(B) read(D) B=B+10 write(B) commit D=D+20 write(D) commit 3 read(A) A=A-10 read(B) write(A) read(B) B=B-20 write(B) B=B+10 read(D) write(B) commit D=D+20 write(D) commit",3
216,"Consider two transactions <img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/> and <img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/>, and the following schedules in which A and B are two records. Which of the following schedules can result in a deadlock?<br>
<br>
<html>
<head>
<meta name=""viewport"" content=""width=device-width, initial-scale=1"">
<style>
* {
  box-sizing: border-box;
}
.column {
  float: left;
  width: 20%;
  padding: 10px;
  height: 300px; 
}
.row:after {
  content: """";
  display: table;
  clear: both;
}
</style>
</head>
<body>
<div class=""row""display= ""table"">
  <div class=""column"" >
    <h2>1</h2>
   <table style=""padding: 20px;text-align: center;width: 30%;"" border=""1"">

  <tr>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/></th>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/></th>
  </tr>
  <tr>
    <td> read(A) </td>
    <td> </td>
  </tr>
  <tr>
    <td> write(A) </td>
    <td> </td>
  </tr>
 <tr>
    <td> </td>
    <td> read(A) </td>
  </tr>

<tr>
    <td>  </td>
    <td> write(A) </td>
  </tr>
<tr>
    <td>  </td>
    <td>commit </td>
  </tr>

    <td>commit  </td>
    <td> </td>
  </tr>
</table>
  </div>
  <div class=""column"" >
    <h2>2</h2>
   <table style=""padding: 20px;text-align: center;width: 30%;"" border=""1"">

  <tr>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/></th>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/></th>
  </tr>
<tr>
    <td> read(A) </td>
    <td> </td>
  </tr>
  <tr>
    <td>  </td>
    <td> read(B)</td>
  </tr>
 <tr>
    <td> </td>
    <td> write(A)</td>
  </tr>

<tr>
    <td> write(B) </td>
    <td>  </td>
  </tr>
<tr>
    <td>  </td>
    <td>commit </td>
  </tr>

    <td>commit  </td>
    <td> </td>
  </tr>
</table>
  </div>
<div class=""column"" >
    <h2>3</h2>
   <table style=""padding: 20px;text-align: center;width: 30%;"" border=""1"">

  <tr>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/></th>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/></th>
  </tr>
  <tr>
    <td> read(A) </td>
    <td> </td>
  </tr>
  <tr>
    <td>  </td>
    <td> write(B)</td>
  </tr>
 <tr>
    <td> </td>
    <td> read(A) </td>
  </tr>

<tr>
    <td> write(B) </td>
    <td>  </td>
  </tr>
<tr>
    <td>  </td>
    <td> commit</td>
  </tr>

    <td>commit  </td>
    <td> </td>
  </tr>
</table>
  </div>
<div class=""column"" >
    <h2>4</h2>
   <table style=""padding: 20px;text-align: center;width: 30%;"" border=""1"">

  <tr>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/></th>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/></th>
  </tr>
  <tr>
    <td> read(A) </td>
    <td> </td>
  </tr>
  <tr>
    <td>  </td>
    <td> read(A)</td>
  </tr>
 <tr>
    <td> </td>
    <td> write(A) </td>
  </tr>

<tr>
    <td> write(B) </td>
    <td>  </td>
  </tr>
<tr>
    <td>  </td>
    <td> commit</td>
  </tr>

    <td>commit  </td>
    <td> </td>
  </tr>
</table>
  </div>
</div>
</body>
</html>

",Q10-17,,,"Consider two transactions and , and the following schedules in which A and B are two records. Which of the following schedules can result in a deadlock? * { box-sizing: border-box; } .column { float: left; width: 20%; padding: 10px; height: 300px; } .row:after { content: """"; display: table; clear: both; } 1 read(A) write(A) read(A) write(A) commit commit 2 read(A) read(B) write(A) write(B) commit commit 3 read(A) write(B) read(A) write(B) commit commit 4 read(A) read(A) write(A) write(B) commit commit",3
214,"Consider the table Worker(name, payrate, hours) with name as the primary key and
the following transaction:<br>
<br>
Begin transaction;<br>
update Worker set hours = 20 where name = ‘Tom';<br>
update Worker set payrate = 1.5*payrate where name = ‘Tom';<br>
Commit;<br>
Rollback;<br>
<br>
What does Rollback do?",Q10-16,,,"Consider the table Worker(name, payrate, hours) with name as the primary key and the following transaction: Begin transaction; update Worker set hours = 20 where name = ‘Tom'; update Worker set payrate = 1.5*payrate where name = ‘Tom'; Commit; Rollback; What does Rollback do?",2
213,"Consider the table Worker(name, payrate, hours) with name as the primary key and the
following two concurrent transactions:<br>
<br>
<img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/>:<br>
<br>
Begin Transaction;<br>
update Worker set payrate = 1.2*payrate where name = ‘Tom';<br>
update Worker set payrate = 1.5*payrate where name = ‘Tom';<br>
Commit;<br>
<br>
<img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/>:<br>
<br>
Begin Transaction;<br>
update Worker set payrate = payrate+20 where name = ‘Tom';<br>
update Worker set payrate = payrate+10 where name = ‘Tom';<br>
Commit;<br>
<br>
Assume Tom’s pay rate is 20 before the transactions <img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/> and <img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/> begin.<br>
<br>
If the transaction isolation level is “read uncommitted”, what are the possible values
for Tom’s pay rate after executing these two transactions?",Q10-15,,,"Consider the table Worker(name, payrate, hours) with name as the primary key and the following two concurrent transactions: : Begin Transaction; update Worker set payrate = 1.2*payrate where name = ‘Tom'; update Worker set payrate = 1.5*payrate where name = ‘Tom'; Commit; : Begin Transaction; update Worker set payrate = payrate+20 where name = ‘Tom'; update Worker set payrate = payrate+10 where name = ‘Tom'; Commit; Assume Tom’s pay rate is 20 before the transactions and begin. If the transaction isolation level is “read uncommitted”, what are the possible values for Tom’s pay rate after executing these two transactions?",3
212,"Consider the table Worker(name, payrate, hours) with name as the primary key and the
following two concurrent transactions:<br>
<br>
<img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/>:<br>
<br>
Begin Transaction;<br>
update Worker set payrate = 1.2*payrate where name = ‘Tom';<br>
update Worker set payrate = 1.5*payrate where name = ‘Tom';<br>
Commit;<br>
<br>
<img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/>:<br>
<br>
Begin Transaction;<br>
update Worker set payrate = payrate+20 where name = ‘Tom';<br>
update Worker set payrate = payrate+10 where name = ‘Tom';<br>
Commit;<br>
<br>
Assume Tom’s pay rate is 20 before the transactions <img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/> and <img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/> begin.<br>
<br>
If the transaction isolation level is “read committed”, what are the possible values for
Tom’s pay rate after executing these two transactions?",Q10-14,,,"Consider the table Worker(name, payrate, hours) with name as the primary key and the following two concurrent transactions: : Begin Transaction; update Worker set payrate = 1.2*payrate where name = ‘Tom'; update Worker set payrate = 1.5*payrate where name = ‘Tom'; Commit; : Begin Transaction; update Worker set payrate = payrate+20 where name = ‘Tom'; update Worker set payrate = payrate+10 where name = ‘Tom'; Commit; Assume Tom’s pay rate is 20 before the transactions and begin. If the transaction isolation level is “read committed”, what are the possible values for Tom’s pay rate after executing these two transactions?",3
211,"Consider the table Worker(name, payrate, hours) with name as the primary key and the
following two concurrent transactions:<br>
<br>
<img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/>:<br>
<br>
Begin Transaction;<br>
update Worker set payrate = 1.2*payrate where name = ‘Tom';<br>
update Worker set payrate = 1.5*payrate where name = ‘Tom';<br>
Commit;<br>
<br>
<img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/>:<br>
<br>
Begin Transaction;<br>
update Worker set payrate = payrate+20 where name = ‘Tom';<br>
update Worker set payrate = payrate+10 where name = ‘Tom';<br>
Commit;<br>
<br>
Assume Tom’s pay rate is 20 before the transactions <img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/> and <img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/> begin.<br>
<br>
If the transaction isolation level is “serializable”, what are the possible values for Tom's
pay rate after executing these two transactions?",Q10-13,,,"Consider the table Worker(name, payrate, hours) with name as the primary key and the following two concurrent transactions: : Begin Transaction; update Worker set payrate = 1.2*payrate where name = ‘Tom'; update Worker set payrate = 1.5*payrate where name = ‘Tom'; Commit; : Begin Transaction; update Worker set payrate = payrate+20 where name = ‘Tom'; update Worker set payrate = payrate+10 where name = ‘Tom'; Commit; Assume Tom’s pay rate is 20 before the transactions and begin. If the transaction isolation level is “serializable”, what are the possible values for Tom's pay rate after executing these two transactions?",3
210,"Consider two transactions <img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/> and <img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/>, and the following schedule in which A and B are two records.<br>
<br>
<center><table style=""padding: 20px;text-align: center;width: 30%;"" border=""1"">

  <tr>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/></th>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/></th>
  </tr>
  <tr>
    <td> read(A) </td>
    <td> </td>
  </tr>
  <tr>
    <td>  </td>
    <td> read(A)</td>
  </tr>
 <tr>
    <td> </td>
    <td> write(A) </td>
  </tr>

<tr>
    <td> read(B) </td>
    <td>  </td>
  </tr>
<tr>
    <td> write(A) </td>
    <td> </td>
  </tr>

    <td>commit  </td>
    <td> </td>
  </tr>
<tr>
    <td>  </td>
    <td>commit  </td>
  </tr>
</table></center>
<br>
Which of the following problems may occur in this schedule?",Q10-12,,,"Consider two transactions and , and the following schedule in which A and B are two records. read(A) read(A) write(A) read(B) write(A) commit commit Which of the following problems may occur in this schedule?",2
209,"Consider two transactions <img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/> and <img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/>, and the following schedule in which A and B are two records.<br>
<br>
<center><table style=""padding: 20px;text-align: center;width: 30%;"" border=""1"">

  <tr>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/></th>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/></th>
  </tr>
  <tr>
    <td> read(B) </td>
    <td> </td>
  </tr>
  <tr>
    <td>  </td>
    <td> read(A)</td>
  </tr>
 <tr>
    <td> </td>
    <td> write(A) </td>
  </tr>

<tr>
    <td> read(A) </td>
    <td>  </td>
  </tr>
<tr>
    <td>  </td>
    <td> read(B)</td>
  </tr>
<tr>
    <td>  </td>
    <td>write(B) </td>
  </tr>
<tr>
    <td>commit  </td>
    <td> </td>
  </tr>
<tr>
    <td>  </td>
    <td>Abort  </td>
  </tr>
</table></center>
<br>
Which of the following problems may occur in this schedule?",Q10-11,,,"Consider two transactions and , and the following schedule in which A and B are two records. read(B) read(A) write(A) read(A) read(B) write(B) commit Abort Which of the following problems may occur in this schedule?",2
