question_id,difficulty,discrimination,difficulty_category,distcrimination_category
2,-0.97326875,0.4290407,easy,low
3,-2.421981,1.5372162,very easy,high
4,-1.1083927,0.5179538,easy,low
5,-2.2918458,0.27966288,very easy,none
6,-0.7700507,0.44909853,easy,low
7,-2.6577456,1.6065533,very easy,high
8,-2.854505,1.1967155,very easy,moderate
9,-2.0757763,0.5803027,very easy,low
10,-2.741626,0.9519611,very easy,moderate
11,-0.75747335,0.164022,easy,none
12,-2.4474587,1.7669718,very easy,perfect
13,-3.0721097,0.63147414,very easy,low
14,-2.5013127,0.8327934,very easy,moderate
15,-2.5716429,0.68001044,very easy,moderate
16,-2.8108044,0.92623067,very easy,moderate
17,-2.9636753,0.6898049,very easy,moderate
18,-2.5683668,0.99654996,very easy,moderate
19,-3.5580676,0.8328243,very easy,moderate
20,-3.1634688,0.8625782,very easy,moderate
21,-3.2841504,1.139593,very easy,moderate
22,-2.9178333,0.885594,very easy,moderate
23,-1.5385389,1.718619,easy,perfect
24,-2.7657607,1.2195698,very easy,moderate
25,-1.8921905,0.7332532,easy,moderate
26,-3.0768158,1.2480596,very easy,moderate
27,-2.2761483,0.51706964,very easy,low
28,-2.7525556,1.1357603,very easy,moderate
29,0.8527469,1.5246354,hard,high
30,-2.6528032,1.1574235,very easy,moderate
31,-2.350133,0.7339955,very easy,moderate
32,0.321267,0.5242411,medium,low
33,-2.4503746,0.5945652,very easy,low
34,-2.8696344,0.69679826,very easy,moderate
35,-2.8235056,1.0259396,very easy,moderate
36,-2.2795396,0.97210497,very easy,moderate
37,-0.74442124,0.36680767,easy,low
38,-2.3267946,0.74566865,very easy,moderate
39,-0.17438528,0.2789072,medium,none
40,-2.620791,1.0824482,very easy,moderate
41,0.2177769,0.5447527,medium,low
42,-2.485291,1.2202452,very easy,moderate
43,-3.5241292,0.7708194,very easy,moderate
44,-1.0654868,0.36516172,easy,low
45,0.102238365,0.36194482,medium,low
46,-2.3815324,0.33739316,very easy,none
47,-1.7843292,0.56090844,easy,low
48,-2.25668,0.7777441,very easy,moderate
49,-1.3583825,0.70847875,easy,moderate
50,-3.0624268,0.56970125,very easy,low
51,2.1511042,0.35717443,very hard,low
52,-2.464332,0.6708472,very easy,moderate
53,-2.7158766,0.41133437,very easy,low
54,0.05535597,0.29549563,medium,none
55,-0.88256353,0.3835186,easy,low
56,-2.1441176,0.6733963,very easy,moderate
57,-2.4767823,1.1179959,very easy,moderate
58,-1.3910334,0.5647468,easy,low
59,-2.2604654,0.6718201,very easy,moderate
60,-0.99970025,0.43956852,easy,low
61,-0.20963977,0.31411234,medium,none
62,-2.35594,0.41973552,very easy,low
63,-2.7696457,0.7340247,very easy,moderate
64,-3.2012901,0.6266361,very easy,low
65,-1.8828214,0.9456966,easy,moderate
66,-2.4025826,0.65434486,very easy,moderate
67,-1.9277122,0.45328128,easy,low
68,-2.2546687,0.30944517,very easy,none
69,-2.0799909,0.24876836,very easy,none
70,-2.0422344,0.50218934,very easy,low
71,-2.51227,0.60826486,very easy,low
72,-1.0490928,0.8366427,easy,moderate
73,-2.3887582,0.52180314,very easy,low
74,-1.4552447,0.49422216,easy,low
75,-2.4105985,0.6938782,very easy,moderate
76,2.5138323,0.2981613,very hard,none
77,-1.2474033,0.45858985,easy,low
78,-0.816623,0.4507614,easy,low
79,-2.0143805,0.7680017,very easy,moderate
80,-2.0460489,0.507468,very easy,low
81,-0.84704393,0.34343913,easy,none
82,-2.4124644,0.66328734,very easy,moderate
83,-0.9850341,1.4551711,easy,high
84,-1.6448303,0.50590926,easy,low
85,-2.6602788,0.720592,very easy,moderate
